kernel_name,size_hints,fastest_us,config
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 1048576},11.12,XBLOCK=2048 num_warps=8
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 262144},10.28,XBLOCK=1024 num_warps=1
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 32768},10.24,XBLOCK=512 num_warps=8
triton_poi_fused_add_div_exp_mean_mul_sqrt_sub_var_7,{'x': 4194304},14.201,XBLOCK=2048 num_warps=2
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 1048576},10.52,XBLOCK=2048 num_warps=2
triton_poi_fused_add_div_mean_mul_sqrt_sub_var_6,{'x': 65536},12.24,XBLOCK=2048 num_warps=1
triton_poi_fused_add_div_mean_std_sub_3,{'x': 1048576},10.16,XBLOCK=2048 num_warps=8
triton_poi_fused_add_div_mean_std_sub_3,{'x': 16777216},41.801,XBLOCK=2048 num_warps=8
triton_poi_fused_add_div_mean_std_sub_3,{'x': 262144},10.0,XBLOCK=2048 num_warps=4
triton_poi_fused_add_div_mean_std_sub_4,{'x': 16777216},41.761,XBLOCK=2048 num_warps=8
triton_poi_fused_add_div_mean_std_sub_4,{'x': 4194304},14.16,XBLOCK=2048 num_warps=4
triton_poi_fused_add_div_mean_std_sub_4,{'x': 8388608},12.0,XBLOCK=1024 num_warps=4
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 1048576},11.64,XBLOCK=1024 num_warps=1
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 2097152},7.2,XBLOCK=512 num_warps=8
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 4194304},22.601,XBLOCK=128 num_warps=2
triton_poi_fused_add_div_mul_relu_silu_sqrt_sub_0,{'x': 65536},11.52,XBLOCK=1024 num_warps=8
triton_poi_fused_add_gelu_mul_0,{'x': 1048576},6.96,XBLOCK=128 num_warps=2
triton_poi_fused_add_gelu_mul_0,{'x': 131072},6.721,XBLOCK=1024 num_warps=2
triton_poi_fused_add_gelu_mul_0,{'x': 16384},6.8,XBLOCK=1024 num_warps=1
triton_poi_fused_add_gelu_mul_0,{'x': 16777216},55.642,XBLOCK=512 num_warps=1
triton_poi_fused_add_gelu_mul_0,{'x': 2097152},7.28,XBLOCK=512 num_warps=8
triton_poi_fused_add_gelu_mul_0,{'x': 262144},6.76,XBLOCK=1024 num_warps=8
triton_poi_fused_add_gelu_mul_0,{'x': 32768},6.72,XBLOCK=512 num_warps=1
triton_poi_fused_add_gelu_mul_0,{'x': 4096},6.32,XBLOCK=128 num_warps=1
triton_poi_fused_add_gelu_mul_0,{'x': 4194304},14.601,XBLOCK=1024 num_warps=8
triton_poi_fused_add_gelu_mul_0,{'x': 512},6.68,XBLOCK=512 num_warps=8
triton_poi_fused_add_gelu_mul_0,{'x': 65536},6.72,XBLOCK=1024 num_warps=1
triton_poi_fused_add_gelu_mul_0,{'x': 67108864},221.127,XBLOCK=1024 num_warps=8
triton_poi_fused_add_gelu_mul_0,{'x': 8388608},22.201,XBLOCK=256 num_warps=2
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 1024}",7.8,XBLOCK=4 YBLOCK=64 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 16384}",9.081,XBLOCK=32 YBLOCK=32 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 128, 'x': 4096}",7.48,XBLOCK=64 YBLOCK=8 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 16, 'x': 256}",8.96,XBLOCK=32 YBLOCK=2 num_warps=1
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 4096}",7.56,XBLOCK=32 YBLOCK=256 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 256, 'x': 65536}",41.601,XBLOCK=128 YBLOCK=32 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 32, 'x': 1024}",7.04,XBLOCK=256 YBLOCK=4 num_warps=2
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 16384}",21.961,XBLOCK=64 YBLOCK=64 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 2048}",7.48,XBLOCK=32 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 512, 'x': 4096}",7.64,XBLOCK=128 YBLOCK=32 num_warps=8
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 1024}",7.88,XBLOCK=32 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_permute_0,"{'y': 64, 'x': 4096}",8.0,XBLOCK=4 YBLOCK=64 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 1024, 'x': 1024}",7.6,XBLOCK=64 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 128, 'x': 128}",6.84,XBLOCK=32 YBLOCK=16 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 2048, 'x': 2048}",13.12,XBLOCK=64 YBLOCK=32 num_warps=4
triton_poi_fused_add_mul_transpose_0,"{'y': 4096, 'x': 4096}",42.921,XBLOCK=128 YBLOCK=32 num_warps=8
triton_poi_fused_add_mul_transpose_0,"{'y': 512, 'x': 512}",6.84,XBLOCK=128 YBLOCK=16 num_warps=8
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 2048}",25.561,XBLOCK=128 YBLOCK=64 num_warps=8
triton_poi_fused_add_mul_transpose_0,"{'y': 8192, 'x': 8192}",199.446,XBLOCK=128 YBLOCK=128 num_warps=8
triton_poi_fused_add_relu_0,{'x': 1048576},6.64,XBLOCK=256 num_warps=4
triton_poi_fused_add_relu_0,{'x': 131072},6.48,XBLOCK=2048 num_warps=8
triton_poi_fused_add_relu_0,{'x': 16384},6.76,XBLOCK=512 num_warps=8
triton_poi_fused_add_relu_0,{'x': 16777216},29.601,XBLOCK=256 num_warps=2
triton_poi_fused_add_relu_0,{'x': 2097152},7.12,XBLOCK=128 num_warps=2
triton_poi_fused_add_relu_0,{'x': 262144},6.36,XBLOCK=1024 num_warps=8
triton_poi_fused_add_relu_0,{'x': 32768},6.28,XBLOCK=2048 num_warps=8
triton_poi_fused_add_relu_0,{'x': 4096},6.48,XBLOCK=512 num_warps=1
triton_poi_fused_add_relu_0,{'x': 4194304},9.72,XBLOCK=2048 num_warps=1
triton_poi_fused_add_relu_0,{'x': 512},6.56,XBLOCK=256 num_warps=4
triton_poi_fused_add_relu_0,{'x': 65536},6.28,XBLOCK=512 num_warps=4
triton_poi_fused_add_relu_0,{'x': 67108864},132.723,XBLOCK=128 num_warps=1
triton_poi_fused_add_relu_0,{'x': 8388608},14.56,XBLOCK=256 num_warps=1
triton_poi_fused_gelu_0,{'x': 1048576},6.76,XBLOCK=512 num_warps=8
triton_poi_fused_gelu_0,{'x': 131072},6.76,XBLOCK=1024 num_warps=2
triton_poi_fused_gelu_0,{'x': 16384},6.56,XBLOCK=1024 num_warps=1
triton_poi_fused_gelu_0,{'x': 16777216},22.52,XBLOCK=2048 num_warps=4
triton_poi_fused_gelu_0,{'x': 2097152},7.2,XBLOCK=512 num_warps=8
triton_poi_fused_gelu_0,{'x': 262144},6.56,XBLOCK=2048 num_warps=4
triton_poi_fused_gelu_0,{'x': 32768},6.481,XBLOCK=1024 num_warps=8
triton_poi_fused_gelu_0,{'x': 4096},6.36,XBLOCK=1024 num_warps=1
triton_poi_fused_gelu_0,{'x': 4194304},9.2,XBLOCK=1024 num_warps=4
triton_poi_fused_gelu_0,{'x': 512},6.72,XBLOCK=256 num_warps=4
triton_poi_fused_gelu_0,{'x': 65536},6.56,XBLOCK=1024 num_warps=2
triton_poi_fused_gelu_0,{'x': 67108864},90.362,XBLOCK=1024 num_warps=4
triton_poi_fused_gelu_0,{'x': 8388608},12.68,XBLOCK=512 num_warps=1
triton_poi_fused_leaky_relu_0,{'x': 1048576},6.64,XBLOCK=1024 num_warps=8
triton_poi_fused_leaky_relu_0,{'x': 131072},6.481,XBLOCK=4096 num_warps=1
triton_poi_fused_leaky_relu_0,{'x': 16384},6.641,XBLOCK=2048 num_warps=2
triton_poi_fused_leaky_relu_0,{'x': 16777216},21.721,XBLOCK=2048 num_warps=8
triton_poi_fused_leaky_relu_0,{'x': 2097152},6.84,XBLOCK=128 num_warps=1
triton_poi_fused_leaky_relu_0,{'x': 262144},6.48,XBLOCK=128 num_warps=1
triton_poi_fused_leaky_relu_0,{'x': 32768},6.6,XBLOCK=2048 num_warps=2
triton_poi_fused_leaky_relu_0,{'x': 4096},6.56,XBLOCK=256 num_warps=4
triton_poi_fused_leaky_relu_0,{'x': 4194304},7.88,XBLOCK=2048 num_warps=8
triton_poi_fused_leaky_relu_0,{'x': 512},6.48,XBLOCK=512 num_warps=1
triton_poi_fused_leaky_relu_0,{'x': 65536},6.361,XBLOCK=512 num_warps=8
triton_poi_fused_leaky_relu_0,{'x': 67108864},90.242,XBLOCK=256 num_warps=1
triton_poi_fused_leaky_relu_0,{'x': 8388608},10.96,XBLOCK=4096 num_warps=4
triton_poi_fused_mul_0,{'x': 1048576},6.8,XBLOCK=2048 num_warps=1
triton_poi_fused_mul_0,{'x': 131072},6.68,XBLOCK=512 num_warps=4
triton_poi_fused_mul_0,{'x': 16384},6.56,XBLOCK=2048 num_warps=1
triton_poi_fused_mul_0,{'x': 16777216},29.961,XBLOCK=256 num_warps=2
triton_poi_fused_mul_0,{'x': 2097152},6.84,XBLOCK=256 num_warps=4
triton_poi_fused_mul_0,{'x': 262144},6.64,XBLOCK=128 num_warps=1
triton_poi_fused_mul_0,{'x': 32768},6.56,XBLOCK=1024 num_warps=8
triton_poi_fused_mul_0,{'x': 4096},6.44,XBLOCK=256 num_warps=2
triton_poi_fused_mul_0,{'x': 4194304},9.6,XBLOCK=2048 num_warps=1
triton_poi_fused_mul_0,{'x': 512},6.48,XBLOCK=512 num_warps=4
triton_poi_fused_mul_0,{'x': 65536},6.52,XBLOCK=512 num_warps=8
triton_poi_fused_mul_0,{'x': 67108864},133.164,XBLOCK=128 num_warps=1
triton_poi_fused_mul_0,{'x': 8388608},14.641,XBLOCK=512 num_warps=1
triton_poi_fused_mul_relu_0,{'x': 1048576},6.76,XBLOCK=1024 num_warps=2
triton_poi_fused_mul_relu_0,{'x': 131072},6.8,XBLOCK=128 num_warps=1
triton_poi_fused_mul_relu_0,{'x': 16384},6.36,XBLOCK=512 num_warps=8
triton_poi_fused_mul_relu_0,{'x': 16777216},21.56,XBLOCK=1024 num_warps=4
triton_poi_fused_mul_relu_0,{'x': 2097152},6.921,XBLOCK=128 num_warps=1
triton_poi_fused_mul_relu_0,{'x': 262144},6.52,XBLOCK=128 num_warps=2
triton_poi_fused_mul_relu_0,{'x': 32768},6.52,XBLOCK=64 num_warps=1
triton_poi_fused_mul_relu_0,{'x': 4096},6.36,XBLOCK=4096 num_warps=2
triton_poi_fused_mul_relu_0,{'x': 4194304},7.68,XBLOCK=1024 num_warps=1
triton_poi_fused_mul_relu_0,{'x': 512},6.44,XBLOCK=512 num_warps=1
triton_poi_fused_mul_relu_0,{'x': 65536},6.56,XBLOCK=2048 num_warps=8
triton_poi_fused_mul_relu_0,{'x': 67108864},90.282,XBLOCK=256 num_warps=1
triton_poi_fused_mul_relu_0,{'x': 8388608},10.96,XBLOCK=4096 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 1048576},6.56,XBLOCK=128 num_warps=2
triton_poi_fused_relu_sigmoid_0,{'x': 131072},6.64,XBLOCK=512 num_warps=2
triton_poi_fused_relu_sigmoid_0,{'x': 16384},6.6,XBLOCK=512 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 16777216},21.96,XBLOCK=1024 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 2097152},6.72,XBLOCK=512 num_warps=8
triton_poi_fused_relu_sigmoid_0,{'x': 262144},6.72,XBLOCK=512 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 32768},6.48,XBLOCK=2048 num_warps=1
triton_poi_fused_relu_sigmoid_0,{'x': 4096},6.401,XBLOCK=512 num_warps=4
triton_poi_fused_relu_sigmoid_0,{'x': 4194304},8.24,XBLOCK=2048 num_warps=8
triton_poi_fused_relu_sigmoid_0,{'x': 512},6.48,XBLOCK=128 num_warps=2
triton_poi_fused_relu_sigmoid_0,{'x': 65536},6.32,XBLOCK=2048 num_warps=1
triton_poi_fused_relu_sigmoid_0,{'x': 67108864},89.323,XBLOCK=2048 num_warps=8
triton_poi_fused_relu_sigmoid_0,{'x': 8388608},11.68,XBLOCK=512 num_warps=2
triton_poi_fused_silu_0,{'x': 1048576},6.96,XBLOCK=2048 num_warps=8
triton_poi_fused_silu_0,{'x': 131072},6.76,XBLOCK=256 num_warps=2
triton_poi_fused_silu_0,{'x': 16384},6.241,XBLOCK=2048 num_warps=1
triton_poi_fused_silu_0,{'x': 16777216},21.96,XBLOCK=1024 num_warps=4
triton_poi_fused_silu_0,{'x': 2097152},6.8,XBLOCK=256 num_warps=4
triton_poi_fused_silu_0,{'x': 262144},6.64,XBLOCK=1024 num_warps=8
triton_poi_fused_silu_0,{'x': 32768},6.56,XBLOCK=256 num_warps=4
triton_poi_fused_silu_0,{'x': 4096},6.24,XBLOCK=4096 num_warps=8
triton_poi_fused_silu_0,{'x': 4194304},8.0,XBLOCK=512 num_warps=1
triton_poi_fused_silu_0,{'x': 512},6.64,XBLOCK=128 num_warps=2
triton_poi_fused_silu_0,{'x': 65536},6.52,XBLOCK=512 num_warps=1
triton_poi_fused_silu_0,{'x': 67108864},90.602,XBLOCK=512 num_warps=2
triton_poi_fused_silu_0,{'x': 8388608},11.72,XBLOCK=1024 num_warps=4
triton_poi_fused_tanh_0,{'x': 1048576},6.48,XBLOCK=1024 num_warps=8
triton_poi_fused_tanh_0,{'x': 131072},6.8,XBLOCK=4096 num_warps=8
triton_poi_fused_tanh_0,{'x': 16384},6.64,XBLOCK=64 num_warps=1
triton_poi_fused_tanh_0,{'x': 16777216},22.121,XBLOCK=2048 num_warps=4
triton_poi_fused_tanh_0,{'x': 2097152},6.801,XBLOCK=512 num_warps=2
triton_poi_fused_tanh_0,{'x': 262144},6.52,XBLOCK=256 num_warps=1
triton_poi_fused_tanh_0,{'x': 32768},6.68,XBLOCK=128 num_warps=2
triton_poi_fused_tanh_0,{'x': 4096},6.48,XBLOCK=64 num_warps=1
triton_poi_fused_tanh_0,{'x': 4194304},9.04,XBLOCK=512 num_warps=4
triton_poi_fused_tanh_0,{'x': 512},6.56,XBLOCK=256 num_warps=4
triton_poi_fused_tanh_0,{'x': 65536},6.52,XBLOCK=2048 num_warps=8
triton_poi_fused_tanh_0,{'x': 67108864},89.923,XBLOCK=1024 num_warps=4
triton_poi_fused_tanh_0,{'x': 8388608},12.16,XBLOCK=4096 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 128, 'r0_': 8192}",18.241,XBLOCK=1 R0_BLOCK=2048 waves_per_eu=2 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 32, 'r0_': 8192}",17.281,XBLOCK=1 R0_BLOCK=2048 waves_per_eu=2 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 4, 'r0_': 8192}",17.001,XBLOCK=1 R0_BLOCK=2048 waves_per_eu=2 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_std_tanh_0,"{'x': 8, 'r0_': 8192}",17.041,XBLOCK=1 R0_BLOCK=2048 waves_per_eu=2 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 128, 'r0_': 8192}",16.36,XBLOCK=1 R0_BLOCK=2048 waves_per_eu=2 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 32, 'r0_': 8192}",14.64,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 4, 'r0_': 8192}",13.36,XBLOCK=1 R0_BLOCK=8192 waves_per_eu=2 num_warps=8
triton_red_fused_abs_add_cos_exp_gelu_mean_mul_neg_relu_sigmoid_sin_sqrt_tanh_1,"{'x': 512, 'r0_': 8192}",25.161,XBLOCK=1 R0_BLOCK=1024 num_warps=8
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 128, 'r0_': 8192}",8.241,XBLOCK=1 R0_BLOCK=1024 waves_per_eu=2 num_warps=8
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 32, 'r0_': 8192}",7.32,XBLOCK=1 R0_BLOCK=8192 waves_per_eu=2 num_warps=8
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 4, 'r0_': 8192}",6.88,XBLOCK=1 R0_BLOCK=8192 waves_per_eu=2 num_warps=8
triton_red_fused_add_div_exp_mean_mul_sub_3,"{'x': 512, 'r0_': 8192}",10.0,XBLOCK=1 R0_BLOCK=8192 num_warps=8
triton_red_fused_add_div_exp_mul_sub_sum_2,"{'x': 128, 'r0_': 8192}",6.76,XBLOCK=1 R0_BLOCK=2048 waves_per_eu=2 num_warps=8
triton_red_fused_add_div_exp_mul_sub_sum_2,"{'x': 2048, 'r0_': 2048}",19.0,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_div_exp_mul_sub_sum_2,"{'x': 8, 'r0_': 8192}",6.8,XBLOCK=1 R0_BLOCK=4096 waves_per_eu=2 num_warps=8
triton_red_fused_add_div_max_mul_0,"{'x': 128, 'r0_': 8192}",6.28,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_div_max_mul_0,"{'x': 32, 'r0_': 8192}",6.48,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_div_max_mul_0,"{'x': 4, 'r0_': 8192}",6.161,XBLOCK=1 R0_BLOCK=1024 num_warps=8
triton_red_fused_add_div_max_mul_0,"{'x': 512, 'r0_': 8192}",9.841,XBLOCK=2 R0_BLOCK=1024 num_warps=8
triton_red_fused_add_div_max_mul_0,"{'x': 8, 'r0_': 8192}",6.44,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_div_mean_mul_var_4,"{'x': 128, 'r0_': 8192}",8.64,XBLOCK=1 R0_BLOCK=2048 waves_per_eu=2 num_warps=8
triton_red_fused_add_div_mean_mul_var_4,"{'x': 8, 'r0_': 8192}",8.001,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 128, 'r0_': 8192}",10.96,XBLOCK=1 R0_BLOCK=2048 num_warps=8
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 2048, 'r0_': 8192}",74.683,XBLOCK=2 R0_BLOCK=1024 num_warps=4
triton_red_fused_add_gelu_mean_mul_std_0,"{'x': 32, 'r0_': 8192}",10.401,XBLOCK=1 R0_BLOCK=4096 num_warps=8
triton_red_fused_mean_1,"{'x': 1, 'r0_': 2048}",6.08,XBLOCK=1 R0_BLOCK=1024 waves_per_eu=2 num_warps=8
triton_red_fused_mean_2,"{'x': 1, 'r0_': 2048}",6.521,XBLOCK=1 R0_BLOCK=2048 num_warps=2
triton_red_fused_mean_std_1,"{'x': 1024, 'r0_': 8192}",12.841,XBLOCK=1 R0_BLOCK=2048 num_warps=4
triton_red_fused_mean_std_1,"{'x': 2048, 'r0_': 8192}",18.8,XBLOCK=2 R0_BLOCK=4096 num_warps=4
triton_red_fused_mean_std_1,"{'x': 512, 'r0_': 8192}",8.84,XBLOCK=1 R0_BLOCK=4096 num_warps=4
triton_red_fused_std_2,"{'x': 1, 'r0_': 2048}",6.4,XBLOCK=1 R0_BLOCK=1024 waves_per_eu=2 num_warps=2
triton_red_fused_std_3,"{'x': 1, 'r0_': 2048}",6.52,XBLOCK=1 R0_BLOCK=1024 num_warps=4
triton_red_fused_std_3,"{'x': 128, 'r0_': 8192}",7.481,XBLOCK=1 R0_BLOCK=1024 waves_per_eu=2 num_warps=8
triton_red_fused_std_3,"{'x': 32, 'r0_': 8192}",6.84,XBLOCK=1 R0_BLOCK=8192 waves_per_eu=2 num_warps=4
triton_red_fused_std_3,"{'x': 4, 'r0_': 8192}",6.96,XBLOCK=1 R0_BLOCK=1024 waves_per_eu=2 num_warps=8
triton_red_fused_std_3,"{'x': 512, 'r0_': 8192}",8.08,XBLOCK=1 R0_BLOCK=1024 num_warps=4
triton_red_fused_var_5,"{'x': 128, 'r0_': 8192}",7.28,XBLOCK=1 R0_BLOCK=1024 num_warps=8
triton_red_fused_var_5,"{'x': 32, 'r0_': 8192}",6.44,XBLOCK=1 R0_BLOCK=2048 waves_per_eu=2 num_warps=8
triton_red_fused_var_5,"{'x': 4, 'r0_': 8192}",6.64,XBLOCK=1 R0_BLOCK=4096 num_warps=8
triton_red_fused_var_5,"{'x': 512, 'r0_': 8192}",8.2,XBLOCK=1 R0_BLOCK=2048 num_warps=4
